date,num_farmers_tweets,num_tweets,percent
5/22/2019 0:00,0,35,0
5/21/2019 0:00,0,16,0
5/20/2019 0:00,1,20,0.05
5/19/2019 0:00,0,18,0
5/18/2019 0:00,0,14,0
5/17/2019 0:00,0,15,0
5/16/2019 0:00,0,10,0
5/15/2019 0:00,0,8,0
5/14/2019 0:00,6,21,0.285714286
5/13/2019 0:00,8,34,0.235294118
5/12/2019 0:00,3,30,0.1
5/11/2019 0:00,6,80,0.075
5/10/2019 0:00,24,43,0.558139535
5/9/2019 0:00,1,6,0.166666667
5/8/2019 0:00,4,41,0.097560976
5/7/2019 0:00,0,3,0
5/6/2019 0:00,2,16,0.125
5/5/2019 0:00,2,31,0.064516129
5/4/2019 0:00,0,23,0
5/3/2019 0:00,0,21,0
5/2/2019 0:00,1,24,0.041666667
5/1/2019 0:00,0,68,0
4/30/2019 0:00,0,11,0
4/29/2019 0:00,0,11,0
4/28/2019 0:00,0,8,0
4/27/2019 0:00,0,10,0
4/26/2019 0:00,0,12,0
4/25/2019 0:00,0,21,0
4/24/2019 0:00,0,17,0
4/23/2019 0:00,1,19,0.052631579
4/22/2019 0:00,0,42,0
4/21/2019 0:00,0,13,0
4/20/2019 0:00,0,17,0
4/19/2019 0:00,0,16,0
4/18/2019 0:00,0,20,0
4/17/2019 0:00,0,11,0
4/16/2019 0:00,0,6,0
4/15/2019 0:00,0,21,0
4/14/2019 0:00,0,9,0
4/13/2019 0:00,0,17,0
4/12/2019 0:00,0,14,0
4/11/2019 0:00,0,11,0
4/10/2019 0:00,0,12,0
4/9/2019 0:00,1,17,0.058823529
4/8/2019 0:00,1,10,0.1
4/7/2019 0:00,0,6,0
4/6/2019 0:00,0,21,0
4/5/2019 0:00,1,20,0.05
4/4/2019 0:00,0,10,0
4/3/2019 0:00,0,4,0
4/2/2019 0:00,4,18,0.222222222
4/1/2019 0:00,2,9,0.222222222
3/31/2019 0:00,0,3,0
3/30/2019 0:00,0,5,0
3/29/2019 0:00,0,13,0
3/28/2019 0:00,0,13,0
3/27/2019 0:00,0,11,0
3/26/2019 0:00,0,16,0
3/25/2019 0:00,0,9,0
3/24/2019 0:00,0,3,0
3/22/2019 0:00,0,15,0
3/21/2019 0:00,0,7,0
3/20/2019 0:00,0,11,0
3/19/2019 0:00,0,11,0
3/18/2019 0:00,0,13,0
3/17/2019 0:00,0,31,0
3/16/2019 0:00,0,20,0
3/15/2019 0:00,1,13,0.076923077
3/14/2019 0:00,0,13,0
3/13/2019 0:00,0,36,0
3/12/2019 0:00,0,6,0
3/11/2019 0:00,0,15,0
3/10/2019 0:00,0,11,0
3/9/2019 0:00,0,11,0
3/8/2019 0:00,1,34,0.029411765
3/7/2019 0:00,0,5,0
3/6/2019 0:00,0,13,0
3/5/2019 0:00,0,18,0
3/4/2019 0:00,0,16,0
3/3/2019 0:00,0,9,0
3/2/2019 0:00,0,9,0
3/1/2019 0:00,2,15,0.133333333
2/28/2019 0:00,0,2,0
2/27/2019 0:00,0,14,0
2/26/2019 0:00,1,4,0.25
2/25/2019 0:00,2,18,0.111111111
2/24/2019 0:00,5,20,0.25
2/23/2019 0:00,0,5,0
2/22/2019 0:00,0,9,0
2/21/2019 0:00,0,5,0
2/20/2019 0:00,0,10,0
2/19/2019 0:00,0,16,0
2/18/2019 0:00,0,12,0
2/17/2019 0:00,1,20,0.05
2/16/2019 0:00,0,2,0
2/15/2019 0:00,0,6,0
2/14/2019 0:00,0,9,0
2/13/2019 0:00,0,9,0
2/12/2019 0:00,0,8,0
2/11/2019 0:00,0,9,0
2/10/2019 0:00,0,14,0
2/9/2019 0:00,1,16,0.0625
2/8/2019 0:00,0,10,0
2/7/2019 0:00,0,6,0
2/6/2019 0:00,0,4,0
2/5/2019 0:00,0,4,0
2/4/2019 0:00,0,1,0
2/3/2019 0:00,0,6,0
2/2/2019 0:00,0,1,0
2/1/2019 0:00,0,12,0
1/31/2019 0:00,5,19,0.263157895
1/30/2019 0:00,0,12,0
1/29/2019 0:00,0,3,0
1/28/2019 0:00,1,7,0.142857143
1/27/2019 0:00,0,12,0
1/26/2019 0:00,0,10,0
1/25/2019 0:00,0,4,0
1/24/2019 0:00,0,10,0
1/23/2019 0:00,0,8,0
1/22/2019 0:00,0,13,0
1/21/2019 0:00,0,25,0
1/20/2019 0:00,0,25,0
1/19/2019 0:00,0,25,0
1/18/2019 0:00,2,15,0.133333333
1/17/2019 0:00,0,3,0
1/16/2019 0:00,0,2,0
1/15/2019 0:00,1,19,0.052631579
1/14/2019 0:00,2,25,0.08
1/13/2019 0:00,0,9,0
1/12/2019 0:00,0,13,0
1/11/2019 0:00,0,14,0
1/10/2019 0:00,0,17,0
1/9/2019 0:00,0,7,0
1/8/2019 0:00,1,5,0.2
1/7/2019 0:00,0,6,0
1/6/2019 0:00,0,12,0
1/5/2019 0:00,0,12,0
1/4/2019 0:00,0,8,0
1/3/2019 0:00,1,9,0.111111111
1/2/2019 0:00,0,3,0
1/1/2019 0:00,0,20,0
12/31/2018 0:00,0,12,0
12/30/2018 0:00,0,5,0
12/29/2018 0:00,0,7,0
12/28/2018 0:00,0,5,0
12/27/2018 0:00,0,12,0
12/26/2018 0:00,0,1,0
12/25/2018 0:00,0,3,0
12/24/2018 0:00,1,18,0.055555556
12/23/2018 0:00,1,11,0.090909091
12/22/2018 0:00,0,10,0
12/21/2018 0:00,0,20,0
12/20/2018 0:00,1,17,0.058823529
12/19/2018 0:00,0,13,0
12/18/2018 0:00,0,11,0
12/17/2018 0:00,2,7,0.285714286
12/16/2018 0:00,0,11,0
12/15/2018 0:00,0,8,0
12/14/2018 0:00,2,7,0.285714286
12/13/2018 0:00,0,13,0
12/12/2018 0:00,0,3,0
12/11/2018 0:00,0,13,0
12/10/2018 0:00,0,3,0
12/9/2018 0:00,0,3,0
12/8/2018 0:00,0,13,0
12/7/2018 0:00,0,24,0
12/6/2018 0:00,0,4,0
12/5/2018 0:00,5,14,0.357142857
12/4/2018 0:00,2,10,0.2
12/3/2018 0:00,2,12,0.166666667
12/2/2018 0:00,0,1,0
12/1/2018 0:00,0,10,0
11/30/2018 0:00,0,11,0
11/29/2018 0:00,2,15,0.133333333
11/28/2018 0:00,1,15,0.066666667
11/27/2018 0:00,0,10,0
11/26/2018 0:00,0,10,0
11/25/2018 0:00,0,9,0
11/24/2018 0:00,0,3,0
11/23/2018 0:00,0,5,0
11/22/2018 0:00,0,10,0
11/21/2018 0:00,0,13,0
11/20/2018 0:00,0,3,0
11/19/2018 0:00,0,7,0
11/18/2018 0:00,0,8,0
11/17/2018 0:00,0,11,0
11/16/2018 0:00,0,4,0
11/15/2018 0:00,0,9,0
11/14/2018 0:00,0,5,0
11/13/2018 0:00,1,14,0.071428571
11/12/2018 0:00,0,9,0
11/11/2018 0:00,0,6,0
11/10/2018 0:00,0,9,0
11/9/2018 0:00,0,12,0
11/8/2018 0:00,0,2,0
11/7/2018 0:00,0,14,0
11/6/2018 0:00,0,35,0
11/5/2018 0:00,0,17,0
11/4/2018 0:00,0,31,0
11/3/2018 0:00,0,21,0
11/2/2018 0:00,0,10,0
11/1/2018 0:00,0,12,0
10/31/2018 0:00,0,15,0
10/30/2018 0:00,0,24,0
10/29/2018 0:00,0,7,0
10/28/2018 0:00,0,4,0
10/27/2018 0:00,1,16,0.0625
10/26/2018 0:00,0,11,0
10/25/2018 0:00,0,19,0
10/24/2018 0:00,0,7,0
10/23/2018 0:00,1,15,0.066666667
10/22/2018 0:00,0,14,0
10/21/2018 0:00,0,6,0
10/20/2018 0:00,0,12,0
10/19/2018 0:00,0,11,0
10/18/2018 0:00,0,14,0
10/17/2018 0:00,0,23,0
10/16/2018 0:00,0,19,0
10/15/2018 0:00,1,9,0.111111111
10/14/2018 0:00,0,11,0
10/13/2018 0:00,0,11,0
10/12/2018 0:00,1,12,0.083333333
10/11/2018 0:00,0,11,0
10/10/2018 0:00,0,23,0
10/9/2018 0:00,1,18,0.055555556
10/8/2018 0:00,0,8,0
10/7/2018 0:00,0,5,0
10/6/2018 0:00,0,6,0
10/5/2018 0:00,0,10,0
10/4/2018 0:00,0,12,0
10/3/2018 0:00,0,16,0
10/2/2018 0:00,0,11,0
10/1/2018 0:00,2,5,0.4
9/30/2018 0:00,0,6,0
9/29/2018 0:00,0,3,0
9/27/2018 0:00,0,1,0
9/26/2018 0:00,2,15,0.133333333
9/25/2018 0:00,0,15,0
9/24/2018 0:00,0,10,0
9/23/2018 0:00,0,3,0
9/22/2018 0:00,0,10,0
9/21/2018 0:00,2,26,0.076923077
9/20/2018 0:00,0,14,0
9/19/2018 0:00,0,9,0
9/18/2018 0:00,2,12,0.166666667
9/17/2018 0:00,1,30,0.033333333
9/16/2018 0:00,0,9,0
9/15/2018 0:00,0,15,0
9/14/2018 0:00,0,30,0
9/13/2018 0:00,2,17,0.117647059
9/12/2018 0:00,0,13,0
9/11/2018 0:00,0,11,0
9/10/2018 0:00,0,23,0
9/9/2018 0:00,1,18,0.055555556
9/8/2018 0:00,1,9,0.111111111
9/7/2018 0:00,0,9,0
9/6/2018 0:00,0,8,0
9/5/2018 0:00,1,15,0.066666667
9/4/2018 0:00,0,12,0
9/3/2018 0:00,0,15,0
9/2/2018 0:00,0,10,0
9/1/2018 0:00,0,17,0
8/31/2018 0:00,0,4,0
8/30/2018 0:00,0,18,0
8/29/2018 0:00,1,28,0.035714286
8/28/2018 0:00,1,10,0.1
8/27/2018 0:00,0,10,0
8/26/2018 0:00,0,8,0
8/25/2018 0:00,0,13,0
8/24/2018 0:00,0,13,0
8/23/2018 0:00,4,15,0.266666667
8/22/2018 0:00,0,13,0
8/21/2018 0:00,0,13,0
8/20/2018 0:00,0,10,0
8/19/2018 0:00,0,6,0
8/18/2018 0:00,0,15,0
8/17/2018 0:00,0,18,0
8/16/2018 0:00,0,17,0
8/15/2018 0:00,1,17,0.058823529
8/14/2018 0:00,1,18,0.055555556
8/13/2018 0:00,0,14,0
8/12/2018 0:00,0,5,0
8/11/2018 0:00,0,9,0
8/10/2018 0:00,3,9,0.333333333
8/9/2018 0:00,0,6,0
8/8/2018 0:00,0,11,0
8/7/2018 0:00,0,4,0
8/6/2018 0:00,1,10,0.1
8/5/2018 0:00,2,13,0.153846154
8/4/2018 0:00,4,26,0.153846154
8/3/2018 0:00,0,10,0
8/2/2018 0:00,2,14,0.142857143
8/1/2018 0:00,0,14,0
7/31/2018 0:00,0,19,0
7/30/2018 0:00,0,14,0
7/29/2018 0:00,0,18,0
7/28/2018 0:00,0,3,0
7/27/2018 0:00,0,16,0
7/26/2018 0:00,1,12,0.083333333
7/25/2018 0:00,4,15,0.266666667
7/24/2018 0:00,1,16,0.0625
7/23/2018 0:00,0,10,0
7/22/2018 0:00,0,8,0
7/21/2018 0:00,0,6,0
7/20/2018 0:00,1,14,0.071428571
7/19/2018 0:00,0,13,0
7/18/2018 0:00,0,15,0
7/17/2018 0:00,0,5,0
7/16/2018 0:00,0,12,0
7/15/2018 0:00,0,13,0
7/14/2018 0:00,0,12,0
7/13/2018 0:00,0,4,0
7/12/2018 0:00,0,10,0
7/11/2018 0:00,8,23,0.347826087
7/10/2018 0:00,3,19,0.157894737
7/9/2018 0:00,0,7,0
7/8/2018 0:00,0,5,0
7/7/2018 0:00,0,9,0
7/6/2018 0:00,0,6,0
7/5/2018 0:00,0,6,0
7/4/2018 0:00,0,4,0
7/3/2018 0:00,1,21,0.047619048
7/2/2018 0:00,0,3,0
7/1/2018 0:00,0,4,0
6/30/2018 0:00,0,14,0
6/29/2018 0:00,0,5,0
6/28/2018 0:00,0,14,0
6/27/2018 0:00,0,17,0
6/26/2018 0:00,4,12,0.333333333
6/25/2018 0:00,1,21,0.047619048
6/24/2018 0:00,1,5,0.2
6/23/2018 0:00,1,26,0.038461538
6/22/2018 0:00,1,15,0.066666667
6/21/2018 0:00,1,19,0.052631579
6/20/2018 0:00,0,16,0
6/19/2018 0:00,0,9,0
6/18/2018 0:00,0,12,0
6/17/2018 0:00,0,14,0
6/16/2018 0:00,0,6,0
6/15/2018 0:00,0,19,0
6/14/2018 0:00,0,7,0
6/13/2018 0:00,0,17,0
6/12/2018 0:00,0,12,0
6/11/2018 0:00,1,11,0.090909091
6/9/2018 0:00,6,15,0.4
6/8/2018 0:00,4,8,0.5
6/7/2018 0:00,3,21,0.142857143
6/6/2018 0:00,0,18,0
6/5/2018 0:00,0,18,0
6/4/2018 0:00,2,12,0.166666667
6/3/2018 0:00,0,5,0
6/2/2018 0:00,1,17,0.058823529
6/1/2018 0:00,1,6,0.166666667
5/31/2018 0:00,0,16,0
5/30/2018 0:00,0,10,0
5/29/2018 0:00,0,7,0
5/28/2018 0:00,0,10,0
5/27/2018 0:00,0,6,0
5/26/2018 0:00,0,10,0
5/25/2018 0:00,0,18,0
5/24/2018 0:00,0,11,0
5/23/2018 0:00,0,17,0
5/22/2018 0:00,0,2,0
5/21/2018 0:00,3,11,0.272727273
5/20/2018 0:00,0,9,0
5/19/2018 0:00,0,5,0
5/18/2018 0:00,1,11,0.090909091
5/17/2018 0:00,2,13,0.153846154
5/16/2018 0:00,0,12,0
5/15/2018 0:00,0,9,0
5/14/2018 0:00,0,7,0
5/13/2018 0:00,0,4,0
5/12/2018 0:00,0,3,0
5/11/2018 0:00,0,5,0
5/10/2018 0:00,0,5,0
5/9/2018 0:00,0,8,0
5/8/2018 0:00,0,7,0
5/7/2018 0:00,0,11,0
5/5/2018 0:00,0,4,0
5/4/2018 0:00,0,10,0
5/3/2018 0:00,0,9,0
5/2/2018 0:00,1,8,0.125
5/1/2018 0:00,0,7,0
4/30/2018 0:00,0,10,0
4/29/2018 0:00,0,3,0
4/28/2018 0:00,0,9,0
4/27/2018 0:00,0,11,0
4/26/2018 0:00,0,3,0
4/25/2018 0:00,0,7,0
4/24/2018 0:00,0,10,0
4/23/2018 0:00,0,4,0
4/22/2018 0:00,0,8,0
4/21/2018 0:00,0,18,0
4/20/2018 0:00,0,9,0
4/19/2018 0:00,0,14,0
4/18/2018 0:00,0,17,0
4/17/2018 0:00,0,24,0
4/16/2018 0:00,0,2,0
4/15/2018 0:00,0,9,0
4/14/2018 0:00,0,4,0
4/13/2018 0:00,0,6,0
4/12/2018 0:00,1,10,0.1
4/11/2018 0:00,1,11,0.090909091
4/10/2018 0:00,2,8,0.25
4/9/2018 0:00,1,5,0.2
4/8/2018 0:00,2,8,0.25
4/7/2018 0:00,2,7,0.285714286
4/6/2018 0:00,1,8,0.125
4/5/2018 0:00,0,5,0
4/4/2018 0:00,0,6,0
4/3/2018 0:00,1,13,0.076923077
4/2/2018 0:00,0,9,0
4/1/2018 0:00,1,4,0.25
3/31/2018 0:00,0,3,0
3/30/2018 0:00,0,1,0
3/29/2018 0:00,0,4,0
3/28/2018 0:00,0,9,0
3/27/2018 0:00,0,3,0
3/26/2018 0:00,0,4,0
3/25/2018 0:00,0,7,0
3/24/2018 0:00,0,1,0
3/23/2018 0:00,0,6,0
3/22/2018 0:00,0,8,0
3/21/2018 0:00,0,7,0
3/20/2018 0:00,1,2,0.5
3/19/2018 0:00,0,3,0
3/18/2018 0:00,0,4,0
3/17/2018 0:00,0,4,0
3/16/2018 0:00,0,4,0
3/15/2018 0:00,0,6,0
3/14/2018 0:00,0,10,0
3/13/2018 0:00,0,8,0
3/12/2018 0:00,1,6,0.166666667
3/11/2018 0:00,0,6,0
3/10/2018 0:00,1,11,0.090909091
3/9/2018 0:00,1,5,0.2
3/8/2018 0:00,0,5,0
3/7/2018 0:00,0,6,0
3/6/2018 0:00,0,8,0
3/5/2018 0:00,2,6,0.333333333
3/4/2018 0:00,0,1,0
3/3/2018 0:00,1,4,0.25
3/2/2018 0:00,0,13,0
3/1/2018 0:00,0,6,0
2/28/2018 0:00,0,10,0
2/27/2018 0:00,0,8,0
2/25/2018 0:00,0,6,0
2/24/2018 0:00,0,10,0
2/23/2018 0:00,0,10,0
2/22/2018 0:00,0,10,0
2/21/2018 0:00,0,8,0
2/20/2018 0:00,0,13,0
2/19/2018 0:00,0,3,0
2/18/2018 0:00,0,13,0
2/17/2018 0:00,0,8,0
2/16/2018 0:00,0,3,0
2/15/2018 0:00,0,7,0
2/14/2018 0:00,0,4,0
2/13/2018 0:00,0,2,0
2/12/2018 0:00,0,3,0
2/11/2018 0:00,0,4,0
2/10/2018 0:00,0,9,0
2/9/2018 0:00,0,4,0
2/8/2018 0:00,0,5,0
2/7/2018 0:00,0,7,0
2/6/2018 0:00,0,5,0
2/5/2018 0:00,0,7,0
2/4/2018 0:00,0,4,0
2/3/2018 0:00,1,4,0.25
2/2/2018 0:00,0,6,0
2/1/2018 0:00,0,3,0
1/31/2018 0:00,0,1,0
1/29/2018 0:00,0,1,0
1/28/2018 0:00,0,4,0
1/27/2018 0:00,0,3,0
1/26/2018 0:00,0,7,0
1/25/2018 0:00,0,4,0
1/24/2018 0:00,0,5,0
1/23/2018 0:00,0,6,0
1/22/2018 0:00,0,4,0
1/21/2018 0:00,0,9,0
1/20/2018 0:00,0,8,0
1/19/2018 0:00,0,6,0
1/18/2018 0:00,0,12,0
1/17/2018 0:00,0,5,0
1/16/2018 0:00,0,17,0
1/15/2018 0:00,0,4,0
1/14/2018 0:00,0,11,0
1/13/2018 0:00,0,6,0
1/12/2018 0:00,0,14,0
1/11/2018 0:00,0,8,0
1/10/2018 0:00,0,10,0
1/9/2018 0:00,0,5,0
1/8/2018 0:00,4,8,0.5
1/7/2018 0:00,0,5,0
1/6/2018 0:00,0,7,0
1/5/2018 0:00,0,6,0
1/4/2018 0:00,0,10,0
1/3/2018 0:00,0,4,0
1/2/2018 0:00,0,13,0
1/1/2018 0:00,0,3,0
12/31/2017 0:00,0,9,0
12/30/2017 0:00,0,6,0
12/29/2017 0:00,0,8,0
12/28/2017 0:00,0,11,0
12/27/2017 0:00,0,2,0
12/26/2017 0:00,0,3,0
12/25/2017 0:00,0,5,0
12/24/2017 0:00,0,4,0
12/23/2017 0:00,0,6,0
12/22/2017 0:00,0,11,0
12/21/2017 0:00,0,5,0
12/20/2017 0:00,0,6,0
12/19/2017 0:00,0,5,0
12/18/2017 0:00,0,13,0
12/17/2017 0:00,0,2,0
12/16/2017 0:00,0,8,0
12/15/2017 0:00,0,4,0
12/14/2017 0:00,0,7,0
12/13/2017 0:00,0,5,0
12/12/2017 0:00,0,5,0
12/11/2017 0:00,0,1,0
12/10/2017 0:00,0,4,0
12/9/2017 0:00,0,14,0
12/8/2017 0:00,0,8,0
12/7/2017 0:00,0,9,0
12/6/2017 0:00,0,5,0
12/5/2017 0:00,0,2,0
12/4/2017 0:00,0,4,0
12/3/2017 0:00,0,14,0
12/2/2017 0:00,0,4,0
12/1/2017 0:00,0,9,0
11/30/2017 0:00,0,15,0
11/29/2017 0:00,0,20,0
11/28/2017 0:00,0,15,0
11/27/2017 0:00,0,4,0
11/26/2017 0:00,0,3,0
11/25/2017 0:00,0,5,0
11/24/2017 0:00,0,10,0
11/23/2017 0:00,0,8,0
11/22/2017 0:00,0,13,0
11/21/2017 0:00,0,2,0
11/20/2017 0:00,0,4,0
11/19/2017 0:00,1,4,0.25
11/18/2017 0:00,0,4,0
11/17/2017 0:00,0,7,0
11/16/2017 0:00,0,7,0
11/15/2017 0:00,0,15,0
11/14/2017 0:00,0,8,0
11/13/2017 0:00,0,4,0
11/12/2017 0:00,0,8,0
11/11/2017 0:00,0,4,0
11/10/2017 0:00,0,9,0
11/9/2017 0:00,0,6,0
11/8/2017 0:00,0,12,0
11/7/2017 0:00,0,11,0
11/6/2017 0:00,0,7,0
11/5/2017 0:00,0,6,0
11/4/2017 0:00,0,5,0
11/3/2017 0:00,1,20,0.05
11/2/2017 0:00,0,14,0
11/1/2017 0:00,0,15,0
10/31/2017 0:00,0,15,0
10/30/2017 0:00,0,4,0
10/29/2017 0:00,0,6,0
10/28/2017 0:00,0,11,0
10/27/2017 0:00,0,15,0
10/26/2017 0:00,0,11,0
10/25/2017 0:00,0,13,0
10/24/2017 0:00,0,8,0
10/23/2017 0:00,0,4,0
10/22/2017 0:00,0,5,0
10/21/2017 0:00,0,12,0
10/20/2017 0:00,0,11,0
10/19/2017 0:00,0,7,0
10/18/2017 0:00,0,17,0
10/17/2017 0:00,0,9,0
10/16/2017 0:00,0,9,0
10/15/2017 0:00,0,2,0
10/14/2017 0:00,0,14,0
10/13/2017 0:00,0,13,0
10/12/2017 0:00,0,13,0
10/11/2017 0:00,0,15,0
10/10/2017 0:00,0,11,0
10/9/2017 0:00,0,3,0
10/8/2017 0:00,0,11,0
10/7/2017 0:00,0,12,0
10/6/2017 0:00,0,3,0
10/5/2017 0:00,0,10,0
10/4/2017 0:00,0,13,0
10/3/2017 0:00,0,4,0
10/2/2017 0:00,0,2,0
10/1/2017 0:00,0,8,0
9/30/2017 0:00,0,32,0
9/29/2017 0:00,0,12,0
9/28/2017 0:00,0,8,0
9/27/2017 0:00,0,12,0
9/26/2017 0:00,0,21,0
9/25/2017 0:00,0,9,0
9/24/2017 0:00,0,11,0
9/23/2017 0:00,0,13,0
9/22/2017 0:00,0,11,0
9/21/2017 0:00,0,9,0
9/20/2017 0:00,0,26,0
9/19/2017 0:00,0,9,0
9/18/2017 0:00,0,5,0
9/17/2017 0:00,0,15,0
9/16/2017 0:00,0,3,0
9/15/2017 0:00,0,14,0
9/14/2017 0:00,0,13,0
9/13/2017 0:00,0,3,0
9/12/2017 0:00,0,5,0
9/11/2017 0:00,0,2,0
9/10/2017 0:00,0,11,0
9/9/2017 0:00,0,3,0
9/8/2017 0:00,0,8,0
9/7/2017 0:00,0,12,0
9/6/2017 0:00,0,8,0
9/5/2017 0:00,0,6,0
9/4/2017 0:00,0,1,0
9/3/2017 0:00,0,13,0
9/2/2017 0:00,0,4,0
9/1/2017 0:00,0,7,0
8/31/2017 0:00,0,5,0
8/30/2017 0:00,0,5,0
8/29/2017 0:00,0,6,0
8/28/2017 0:00,0,4,0
8/27/2017 0:00,0,11,0
8/26/2017 0:00,0,12,0
8/25/2017 0:00,0,14,0
8/24/2017 0:00,0,15,0
8/23/2017 0:00,0,10,0
8/22/2017 0:00,0,8,0
8/21/2017 0:00,0,3,0
